WrWx_ID|Material|Plant|Manuf|Product Description|Manufacturer Material ID|Category|Product Type|Product Attributes
61282-PNF-1000341|PNF-1000341|0NF0|SKF|Bearing SKF 61805|61805|Bearing|Deep groove ball bearings|Bore diameter: 25.0 mm, Outside diameter: 37.0 mm, Width: 7.0 mm, Basic dynamic load rating: 4.36 kN, Basic static load rating: 2.6 kN
35181-P0A70-POW-01190|P0A70-POW-01190|0A70|SKF|Bearing SKF 108TN9|108 TN9|Bearing|Self-aligning ball bearings|Bore diameter: 8.0 mm, Outside diameter: 22.0 mm, Width: 7.0 mm, Basic dynamic load rating: 2.65 kN, Basic static load rating: 0.56 kN
58343-PLG-1000580|PLG-1000580|0LG0|SKF|Bearing SKF 1200ETN9|1200 ETN9|Bearing|Self-aligning ball bearings|Bore diameter: 10.0 mm, Outside diameter: 30.0 mm, Width: 9.0 mm, Basic dynamic load rating: 5.53 kN, Basic static load rating: 1.18 kN
19987-CPR-8070035|CPR-8070035|0K60|SKF|Bearing SKF 1308ETN9|1308 ETN9|Bearing|Self-aligning ball bearings|Bore diameter: 40.0 mm, Outside diameter: 90.0 mm, Width: 23.0 mm, Basic dynamic load rating: 33.8 kN, Basic static load rating: 11.2 kN
11608-GRGS002413|GRGS002413|0DA0|SKF|Bearing SKF 17262032RS1|1726203-2RS1|Bearing|Insert bearings|Bore diameter: 17.0 mm, Outside diameter: 40.0 mm, Width inner ring: 12.0 mm, Basic dynamic load rating: 9.56 kN, Basic static load rating: 4.75 kN
78250-NF37528|NF37528|0AG0|SKF|Bearing SKF 2200E2RS1TN9|2200 E-2RS1TN9|Bearing|Self-aligning ball bearings|Bore diameter: 10.0 mm, Outside diameter: 30.0 mm, Width: 14.0 mm, Basic dynamic load rating: 5.53 kN, Basic static load rating: 1.18 kN
71315-PRX-BEAR170|PRX-BEAR170|0RX0|SKF|Bearing SKF 22022RS|2202 E-2RS1TN9|Bearing|Self-aligning ball bearings|Bore diameter: 15.0 mm, Outside diameter: 35.0 mm, Width: 14.0 mm, Basic dynamic load rating: 7.41 kN, Basic static load rating: 1.76 kN
45193-CSA-13022203|CSA-13022203|0G30|SKF|Bearing SKF 2205E2RS1TN9|2205 E-2RS1TN9|Bearing|Self-aligning ball bearings|Bore diameter: 25.0 mm, Outside diameter: 52.0 mm, Width: 18.0 mm, Basic dynamic load rating: 14.3 kN, Basic static load rating: 4.0 kN
55136-PKJ-P1436|PKJ-P1436|0KJ0|SKF|Bearing SKF 2211EKTN9|2211 EKTN9|Bearing|Self-aligning ball bearings|Bore diameter: 55.0 mm, Outside diameter: 100.0 mm, Width: 25.0 mm, Basic dynamic load rating: 39.0 kN, Basic static load rating: 13.4 kN
60684-805788|805788|0N20|SKF|Bearing SKF 22211EK|22211 EK|Bearing|Spherical roller bearings|Bore diameter: 55.0 mm, Outside diameter: 100.0 mm, Width: 25.0 mm, Basic dynamic load rating: 129.0 kN, Basic static load rating: 127.0 kN
71943-CTS-91303426|CTS-91303426|0S20|SKF|Bearing SKF 305704C2Z|305704 C-2Z|Track Roller|Cam rollers|
63983-CQ5-21100074|CQ5-21100074|0Q50|SKF|Bearing SKF 305706C2Z|305706 C-2Z|Track Roller|Cam rollers|Outside diameter: 72.0 mm, Bore diameter: 30.0 mm, Width: 23.8 mm, Basic dynamic load rating: 25.1 kN, Basic static load rating: 16.3 kN
32647-GBS-BRGS05026|GBS-BRGS05026|660|SKF|Bearing SKF 305707C2Z|305707 C-2Z|Track Roller|Cam rollers|
2229-PD4-POW-09240|PD4-POW-09240|0D40|SKF|Bearing SKF 305800C2Z|305800 C-2Z|Track Roller|Cam rollers|Outside diameter: 32.0 mm, Bore diameter: 10.0 mm, Width: 14.0 mm, Basic dynamic load rating: 6.76 kN, Basic static load rating: 3.6 kN
80998-CRR-103697|CRR-103697|0R70|SKF|Bearing SKF 305801C2Z|305801 C-2Z|Track Roller|Cam rollers|Outside diameter: 35.0 mm, Bore diameter: 12.0 mm, Width: 15.9 mm, Basic dynamic load rating: 9.04 kN, Basic static load rating: 4.56 kN
28745-PFO-1013656|PFO-1013656|0QF0|SKF|Bearing SKF 305804C2Z|305804 C-2Z|Track Roller|Cam rollers|Outside diameter: 52.0 mm, Bore diameter: 20.0 mm, Width: 20.6 mm, Basic dynamic load rating: 16.5 kN, Basic static load rating: 9.5 kN
